iter	Passed	Remaining
1470	133862	48139
1471	133947	48046
1472	134040	47956
1473	134140	47868
1474	134224	47774
1475	134305	47680
1476	134391	47587
1477	134488	47498
1478	134572	47405
1479	134651	47309
1480	134744	47219
1481	134826	47125
1482	134912	47032
1483	135021	46948
1484	135134	46864
1485	135239	46778
1486	135329	46687
1487	135409	46592
1488	135501	46501
1489	135590	46410
1490	135682	46319
1491	135770	46227
1492	135869	46139
1493	135976	46053
1494	136059	45959
1495	136148	45868
1496	136237	45776
1497	136338	45688
1498	136447	45603
1499	136559	45519
1500	136668	45434
1501	136760	45343
1502	136853	45253
1503	136936	45160
1504	137034	45071
1505	137129	44981
1506	137252	44900
1507	137384	44823
1508	137476	44732
1509	137591	44649
1510	137686	44558
1511	137790	44472
1512	137871	44377
1513	137963	44286
1514	138044	44192
1515	138146	44104
1516	138247	44016
1517	138343	43927
1518	138463	43845
1519	138558	43755
1520	138658	43666
1521	138739	43572
1522	138822	43478
1523	138923	43390
1524	139005	43296
1525	139089	43203
1526	139183	43113
1527	139270	43020
1528	139352	42926
1529	139445	42836
1530	139538	42745
1531	139622	42652
1532	139716	42562
1533	139808	42471
1534	139891	42377
1535	139979	42285
1536	140060	42191
1537	140150	42099
1538	140247	42010
1539	140349	41922
1540	140440	41831
1541	140533	41740
1542	140633	41652
1543	140748	41568
1544	140838	41476
1545	140964	41395
1546	141086	41313
1547	141209	41231
1548	141305	41141
1549	141401	41052
1550	141487	40959
1551	141591	40871
1552	141703	40786
1553	141796	40695
1554	141879	40602
1555	141969	40510
1556	142061	40419
1557	142183	40337
1558	142305	40254
1559	142389	40161
1560	142469	40066
1561	142561	39975
1562	142639	39880
1563	142718	39785
1564	142804	39693
1565	142916	39607
1566	143008	39516
1567	143106	39427
1568	143198	39336
1569	143282	39243
1570	143390	39156
1571	143479	39064
1572	143566	38971
1573	143652	38879
1574	143768	38794
1575	143868	38705
1576	143980	38620
1577	144082	38531
1578	144173	38440
1579	144265	38348
1580	144374	38262
1581	144457	38168
1582	144571	38083
1583	144668	37993
1584	144747	37899
1585	144841	37808
1586	144935	37718
1587	145043	37630
1588	145128	37538
1589	145214	37445
1590	145321	37357
1591	145411	37266
1592	145500	37174
1593	145593	37083
1594	145698	36995
1595	145795	36905
1596	145887	36814
1597	145968	36720
1598	146052	36627
1599	146131	36532
1600	146214	36439
1601	146324	36352
1602	146409	36259
1603	146509	36170
1604	146608	36081
1605	146694	35988
1606	146792	35898
1607	146887	35808
1608	146974	35715
1609	147055	35622
1610	147145	35530
1611	147234	35438
1612	147324	35346
1613	147413	35255
1614	147501	35162
1615	147592	35071
1616	147681	34979
1617	147761	34885
1618	147844	34792
1619	147935	34701
1620	148025	34609
1621	148118	34518
1622	148198	34424
1623	148287	34332
1624	148376	34240
1625	148467	34149
1626	148565	34059
1627	148665	33970
1628	148766	33881
1629	148847	33787
1630	148939	33696
1631	149032	33605
1632	149126	33514
1633	149213	33422
1634	149311	33332
1635	149411	33243
1636	149501	33151
1637	149600	33061
1638	149697	32971
1639	149784	32879
1640	149869	32786
1641	149955	32694
1642	150050	32603
1643	150161	32516
1644	150273	32429
1645	150393	32344
1646	150505	32257
1647	150585	32163
1648	150681	32073
1649	150764	31980
1650	150849	31887
1651	150945	31797
1652	151057	31710
1653	151152	31619
1654	151275	31534
1655	151382	31446
1656	151470	31354
1657	151563	31263
1658	151692	31179
1659	151812	31094
1660	151904	31002
1661	152024	30917
1662	152113	30825
